No.,Dataset,N_Variants,N_Max_Muts,Untrained_Performance_DCA,Untrained_Performance_ESM,Untrained_Performance_ProSST,Hybrid_DCA_Trained_Performance_100,Hybrid_DCA_ESM_Trained_Performance_100,Hybrid_DCA_ProSST_Trained_Performance_100,Hybrid_DCA_ESM_ProSST_Trained_Performance_100,Hybrid_DCA_Trained_Performance_200,Hybrid_DCA_ESM_Trained_Performance_200,Hybrid_DCA_ProSST_Trained_Performance_200,Hybrid_DCA_ESM_ProSST_Trained_Performance_200,Hybrid_DCA_Trained_Performance_1000,Hybrid_DCA_ESM_Trained_Performance_1000,Hybrid_DCA_ProSST_Trained_Performance_1000,Hybrid_DCA_ESM_ProSST_Trained_Performance_1000,N_Y_test,N_Y_test_100,N_Y_test_200,N_Y_test_1000,Time_in_s
30,CCDB_ECOLI_Adkar_2012,1176,1,0.07288430258166731,-0.06694273557859404,0.3973893303693367,0.4783613783539539,0.7000837070397414,0.7312341376245531,0.7299916841143153,0.6838749963929681,0.8187178964776043,0.8708644367191473,0.8678887045748942,0.7783333940268403,0.9824072563260817,0.9876949660676598,0.9867173135570092,1176,1076,976,176,353
31,CCDB_ECOLI_Tripathi_2016,1663,1,0.18068892008695575,-0.03670342062216819,0.46767763766786447,0.17297449665027417,0.24867415774560653,0.5431962010103217,0.5384112798646389,0.19545628413396882,0.4637249211741427,0.589655433811511,0.6132108442135009,0.43481249165846364,0.5713717778960274,0.5753094367252032,0.5886139778811362,1663,1563,1463,663,482
32,CCR5_HUMAN_Gill_2023,6137,1,0.3465779319979635,0.06670584594181489,0.35114957579702655,0.34855163033382314,0.27235504434939034,0.3849646192173069,0.27713832707755015,0.347934701095825,0.367486063124633,0.37887547064045096,0.39740557547448446,0.36286601399963536,0.4051017843869116,0.4266775056730989,0.43170929919716405,6137,6037,5937,5137,2053
33,CD19_HUMAN_Klesmith_2019_FMC_singles,3761,1,0.2402035256830742,0.021645127553646858,0.2453382038196161,0.2413091035317437,0.33801362093124626,0.26320197641179005,0.33282373782215546,0.29710992717979745,0.25920013787577595,0.367401921382561,0.3259439296949665,0.425172473333176,0.47101766679373347,0.4955438316009646,0.4941628011208873,3761,3661,3561,2761,1492
34,CP2C9_HUMAN_Amorosi_2021_abundance,6370,1,0.5934370480710957,0.049041938068663006,0.6313840986454364,0.5986180842209645,0.5987197831580241,0.6759892674455844,0.6755552543761916,0.6089116963127219,0.6248795759887388,0.6761157411012001,0.6708158679129823,0.6711706280694374,0.6805574088064223,0.7367983780106131,0.7293157587735191,6370,6270,6170,5370,2258
35,CP2C9_HUMAN_Amorosi_2021_activity,6142,1,0.6277292472748992,0.07755615968425245,0.6279449245021081,0.6373646459622052,0.6374383736850826,0.7054273680374784,0.7223866007740399,0.6526456144803969,0.6548920704112575,0.7287232755190018,0.7316112667129794,0.7097605791828783,0.7394508311115269,0.7942825510948308,0.7883077077038773,6142,6042,5942,5142,2177
36,DLG4_RAT_McLaughlin_2012,1576,1,0.3476944095786333,-0.006660010385560652,0.5309101106551674,0.42927827219903303,0.41464952243424413,0.6041242894072083,0.6000726399798881,0.5740858315115931,0.5540784585452987,0.6301599728239095,0.669233584875779,0.7068192705976655,0.7060324591275197,0.7905614605583983,0.7554685508757105,1576,1476,1376,576,809
37,DN7A_SACS2_Tsuboyama_2023_1JIC,1008,1,0.15064740928317322,0.017828982108017956,0.7098787650165861,0.17559333776840655,0.5772975784141562,0.8279743385069533,0.8273723447414318,0.29586885018645553,0.6863232021916931,0.87719953315149,0.8710222481895926,nan,nan,nan,nan,1008,908,808,nan,202
38,DYR_ECOLI_Nguyen_2023,2916,1,0.4883925863667101,0.1303845579014177,0.4406032431745139,0.5179054129867766,0.531931377016735,0.5037072129131358,0.549904289636535,0.5294103033812703,0.5259795560127607,0.5520413421050286,0.5394758443127338,0.547282462089501,0.5814091088739052,0.6088875887127677,0.6150423528480656,2916,2816,2716,1916,833
39,DYR_ECOLI_Thompson_2019,2363,1,0.45016902345576104,0.08504243976741643,0.43266633238580765,0.48176094021882016,0.48049367811691673,0.5498738109749293,0.5158875618728636,0.4949594511871636,0.5454722585174061,0.6103020803372561,0.5818431696618529,0.5707344160470819,0.6156402434722015,0.6931195226299576,0.6763509682809002,2363,2263,2163,1363,681
40,ENV_HV1B9_DuenasDecamp_2016,375,1,0.2709163226811479,-0.22788647986407384,0.2050534398344465,0.4326035795796702,0.4323532797406027,0.445808204618068,0.4429403072715302,0.47527488139893825,0.4783374823199659,0.5336336281978677,0.5318536396274812,nan,nan,nan,nan,375,275,175,nan,226
41,ENV_HV1BR_Haddox_2016,12863,1,0.27031866626185946,-0.035917449930920824,0.29234508702394435,-0.17511210479610553,-0.053518211079609954,0.287984064789843,0.24232290726367894,0.2348980446067963,0.13016565238751235,0.29560792106803413,0.27427158490268855,0.21413433748884575,0.2071628033807375,0.32706121611670547,0.31793012916271385,12863,12763,12663,11863,6803
42,ENVZ_ECOLI_Ghose_2023,1121,1,0.16891745980201067,-0.12003054179553825,0.25040381848818916,0.20730314293882313,0.20688435322576465,0.20673666527782492,0.2067040474265851,0.21932856001281442,0.2075819440693335,0.2801138424781365,0.26791536504988955,0.23578141727525498,0.22173147270017604,0.23050399674840802,0.22570112450887406,1121,1021,921,121,347
43,ERBB2_HUMAN_Elazar_2016,326,1,Sequence too long (1255 > 1000)
44,ESTA_BACSU_Nutschel_2020,2172,1,0.41356892031402037,0.013025278717534922,0.3286617323566662,0.4549178296871446,0.47128613074402204,0.4296629785233436,0.48711672446178905,0.49526364650822385,0.5612837233518617,0.5211774242942934,0.5869732008038039,0.5880602564940027,0.6377985628847327,0.6429647330006759,0.6545672986765336,2172,2072,1972,1172,714
